loop,DRate Gbps,Pattern,Channel,TXpre,TXpost,TXattn,vos0,vos1,vos2,vos3,vos4,vos5,vos06,vos07,dc,lf,hf,bw,gain,tap1,tap2,tap3,tap4,tap5,tap6,tap7,tap8,tap9,tapA,tapB,tapC,tapD,errors,BER@eh0V,eh@1e10,eh@1e12,eh@1e15,eh@1e17,eh_r2fit,BER@ew0mUI,ew@1e10,ew@1e12,ew@1e15,ew@1e17,ew_r2fit
1,16.0,prbs31,Macallan_BP,0,0,0,130,138,122,124,140,142,127,129,104,5,15,7,0,8,-6,0,5,4,0,0,0,-1,-1,-1,-1,-1,0,9.676707656635821e-20,79,59,32,15,0.9999991059303284,1.3208200431327046e-32,414,364,295,253,0.999573826789856
2,16.0,prbs31,Macallan_BP,0,0,0,128,138,124,126,143,144,127,129,108,4,15,7,0,6,-11,1,3,-1,0,-1,-1,-1,-1,-1,-1,-1,0,8.458873810546392e-22,90,70,45,29,0.9998654127120972,6.17580324741537e-33,412,362,295,254,0.9996642470359802
3,16.0,prbs31,Macallan_BP,0,0,0,128,138,124,126,143,144,127,129,108,4,15,7,0,6,-10,1,3,-1,0,0,-1,-1,-1,-1,-1,-1,0,2.6092648094594193e-22,92,73,47,32,0.9999712109565735,1.512657859605087e-32,407,357,289,248,0.9986885190010071
4,16.0,prbs31,Macallan_BP,0,0,0,128,137,124,126,142,144,127,129,108,4,15,7,0,6,-10,1,4,-1,0,0,-1,-1,-1,-1,-1,-1,0,1.038610283737944e-20,87,67,39,23,0.9996216893196106,2.7468553730792524e-34,417,368,303,263,0.9993370771408081
5,16.0,prbs31,Macallan_BP,0,0,0,128,138,124,126,142,144,127,129,108,4,15,7,0,7,-11,1,3,-1,0,0,-1,-1,-1,-1,-1,-1,0,1.883841077239908e-22,91,73,48,32,0.9990818500518799,1.7914761757231955e-31,406,354,284,241,0.9997717142105103
6,16.0,prbs31,Macallan_BP,0,0,0,128,138,124,126,143,144,127,129,108,4,15,7,0,6,-11,1,3,-1,0,0,-1,-1,-1,-1,-1,-1,0,2.322145863854902e-22,91,72,47,32,0.9996861815452576,6.040019812328293e-32,408,357,287,245,0.9991817474365234
7,16.0,prbs31,Macallan_BP,0,0,0,130,139,123,124,140,142,127,129,106,5,15,7,0,8,-6,2,5,0,0,0,0,-1,-1,-1,-1,-1,0,5.2265693085792575e-20,81,61,34,17,0.999866247177124,2.8254351137009444e-31,405,353,282,239,0.9997509717941284
8,16.0,prbs31,Macallan_BP,0,0,0,128,136,125,127,144,146,127,129,108,3,15,7,1,5,-11,0,2,-1,-1,0,-1,-1,-1,-1,-1,-1,0,1.4713285829539382e-24,99,81,57,43,0.9999358654022217,4.565403852371142e-39,438,394,334,298,0.9999619722366333
9,16.0,prbs31,Macallan_BP,0,0,0,128,137,124,126,142,144,127,129,108,4,15,7,0,6,-11,1,3,-1,0,0,0,-1,-1,-1,-1,-1,0,2.128193967846424e-21,88,69,42,27,0.9996926188468933,1.0358842257145666e-34,422,374,308,269,0.9992688894271851
10,16.0,prbs31,Macallan_BP,0,0,1,128,138,124,126,142,143,127,129,106,4,15,7,0,6,-10,1,3,-1,0,0,-1,-1,-1,-2,-1,-1,0,2.2951356517574143e-20,83,63,36,20,0.9941142797470093,1.6285923565577666e-32,406,356,289,248,0.9980836510658264
11,16.0,prbs31,Macallan_BP,0,0,1,128,138,124,126,142,144,127,129,106,4,15,7,0,7,-11,0,4,-1,0,0,-1,-1,-1,-1,-1,-1,0,1.5548643468524856e-21,86,68,42,27,0.9988263249397278,1.293585811254198e-33,411,362,296,256,0.9991819262504578
12,16.0,prbs31,Macallan_BP,0,0,1,129,138,125,126,142,144,127,129,108,4,15,7,0,6,-10,1,3,-1,0,-1,-1,-1,-1,-1,-1,-1,0,4.1932808143320494e-22,88,70,45,30,0.9989268779754639,7.576871494588143e-34,417,368,302,261,0.9981557130813599
13,16.0,prbs31,Macallan_BP,0,0,1,130,139,123,124,140,141,127,129,106,5,15,7,0,8,-6,3,5,1,0,1,-1,-1,-1,0,-1,-1,0,3.45935397975106e-19,75,55,28,11,0.9993618726730347,5.227070314244888e-28,382,325,249,203,0.9999687671661377
14,16.0,prbs31,Macallan_BP,0,0,1,128,137,124,125,143,144,127,129,106,4,15,7,0,6,-10,0,3,0,0,0,0,-1,-1,-1,-1,-1,0,2.029454724643431e-21,87,68,42,26,0.9899111986160278,9.270054794297741e-34,424,374,306,265,0.9991116523742676
15,16.0,prbs31,Macallan_BP,0,0,1,130,138,122,124,139,141,127,129,100,5,15,7,0,8,-6,-1,5,3,0,0,0,-1,-1,-1,-1,-1,0,2.658690479214771e-18,71,50,22,4,0.9999953508377075,1.62801594744877e-29,389,335,262,218,0.9995266199111938
16,16.0,prbs31,Macallan_BP,0,0,1,128,138,124,126,142,144,127,129,111,4,15,7,0,6,-10,8,3,-7,0,0,-1,-1,-1,-1,-1,-1,0,9.095740759458241e-21,83,64,38,22,0.9998525977134705,7.777637796485974e-27,325,274,205,164,0.9998019337654114
17,16.0,prbs31,Macallan_BP,0,0,1,128,137,126,127,143,145,127,129,106,3,15,7,1,5,-11,-1,2,-1,-1,0,-1,-1,-1,-1,-1,-1,0,2.0169128867380526e-22,90,72,47,32,0.9985424876213074,2.2152123156579637e-35,424,377,312,273,0.9997313022613525
18,16.0,prbs31,Macallan_BP,0,0,1,128,137,125,126,142,144,127,129,108,4,15,7,0,6,-10,1,3,-1,0,0,-1,-1,-1,-1,-1,-1,0,5.566413731282392e-21,85,66,39,24,0.998829185962677,1.9839322900929048e-31,406,354,283,241,0.9997783303260803
19,16.0,prbs31,Macallan_BP,0,0,2,128,137,125,126,142,143,127,129,100,4,15,7,0,6,-10,-3,3,2,0,-1,-1,-1,-1,-1,-1,-1,0,7.754965972954898e-22,84,66,42,27,0.9999105334281921,2.936534761317416e-32,409,359,290,248,0.9999977350234985
20,16.0,prbs31,Macallan_BP,0,0,2,126,135,127,128,145,146,127,129,100,2,15,7,2,4,-12,-4,1,1,-1,0,-1,-1,-1,-1,-1,-1,0,1.777734692268449e-23,91,74,51,36,0.9999747276306152,3.865913685495835e-37,437,391,328,290,0.9999325275421143
21,16.0,prbs31,Macallan_BP,0,0,2,129,139,123,124,139,140,127,129,94,5,15,7,0,8,-6,7,4,-4,0,0,-1,-1,-1,-1,-1,-1,0,2.3138033857482726e-18,69,49,21,5,0.9999778270721436,4.389585908448643e-26,330,277,204,160,0.999962568283081
22,16.0,prbs31,Macallan_BP,0,0,2,129,138,123,124,139,140,127,129,96,5,15,7,0,7,-6,-5,4,7,-1,0,0,-1,-1,-1,-1,-1,0,8.80509294677067e-19,69,50,24,8,0.9999750256538391,1.697209340582625e-27,358,304,230,186,0.9999933242797852
23,16.0,prbs31,Macallan_BP,0,0,2,129,139,123,124,139,141,127,129,98,5,15,7,0,8,-6,-1,4,4,0,0,-1,-1,-1,-1,-1,-1,0,4.821433786380283e-19,72,53,26,10,0.9999864101409912,5.285218026719724e-30,397,344,271,226,0.9999983906745911
24,16.0,prbs31,Macallan_BP,0,0,2,128,137,126,128,144,145,127,129,106,3,15,7,1,5,-11,-1,2,-1,-1,0,-1,-1,-1,-1,-1,-1,0,9.710979885312235e-24,92,75,51,37,0.9994949102401733,3.4179237164070505e-37,435,389,327,289,0.9999986886978149
25,16.0,prbs31,Macallan_BP,0,0,2,130,139,123,125,139,141,127,129,100,5,15,7,0,8,-6,-1,5,3,0,0,-1,-1,-1,-1,-1,-1,0,3.9641187151072935e-19,72,53,26,10,0.9998922944068909,7.514177895314098e-32,411,359,289,247,0.9983066320419312
26,16.0,prbs31,Macallan_BP,0,0,2,127,136,126,127,143,145,127,129,108,3,15,7,1,5,-10,0,2,-1,0,0,-1,0,-1,0,-1,0,0,5.955191203872551e-24,93,76,53,39,0.9997053146362305,2.7970469759185567e-34,411,364,299,260,0.999993622303009
27,16.0,prbs31,Macallan_BP,0,0,2,127,137,124,126,141,142,127,129,96,4,15,7,0,6,-10,-7,3,5,-1,0,-1,-1,-1,-1,-1,-1,0,3.660085608781034e-20,77,58,32,17,0.9998841285705566,8.188125817501917e-32,396,346,278,237,0.9999765157699585
28,16.0,prbs31,Macallan_BP,0,0,3,127,136,126,127,142,144,127,129,98,3,15,7,1,5,-11,-4,2,2,-1,0,-1,-1,-1,-1,-1,-1,0,7.687775027826598e-22,83,66,42,27,0.9994679093360901,2.865217261501597e-38,440,395,333,296,1.0
29,16.0,prbs31,Macallan_BP,0,0,3,127,136,126,127,142,144,127,129,98,3,15,7,1,5,-10,-4,2,2,0,0,-1,-1,-1,-1,-1,-1,0,2.1636090389953045e-24,89,73,52,38,0.9998605251312256,3.4284345063115056e-36,430,383,319,281,0.9996792674064636
30,16.0,prbs31,Macallan_BP,0,0,3,127,136,125,127,142,144,127,129,92,3,15,7,1,5,-10,0,2,-2,-1,-1,-1,-1,-1,-1,-1,-1,0,1.3846701011169583e-21,83,65,40,26,0.999947190284729,1.0668303369748876e-32,401,352,286,245,0.9998846650123596
31,16.0,prbs31,Macallan_BP,0,0,3,129,138,123,125,139,140,127,129,96,5,15,7,0,7,-6,-5,4,7,0,0,-1,0,-2,-1,-1,-1,0,8.875689853673238e-19,68,49,23,7,0.9990176558494568,1.4890863377782855e-26,354,298,222,176,0.9998173713684082
32,16.0,prbs31,Macallan_BP,0,0,3,130,139,123,125,139,140,127,129,92,5,15,7,0,8,-5,3,3,-1,0,0,-1,-1,-1,-1,-1,-1,0,3.2719827269798994e-18,67,47,20,3,0.999078094959259,1.4394930903245874e-27,369,314,238,193,0.9998337626457214
33,16.0,prbs31,Macallan_BP,0,0,3,127,136,125,127,142,144,127,129,94,3,15,7,1,5,-10,3,2,-5,-1,-1,-1,-1,-1,-1,-1,-1,0,2.7354105672429475e-21,81,63,39,24,0.9992889761924744,1.24649319652346e-32,375,329,267,229,0.9999696016311646
34,16.0,prbs31,Macallan_BP,0,0,3,127,137,124,126,141,142,127,129,88,4,15,7,0,6,-10,-3,3,2,-1,0,-1,-1,-1,-1,-1,-1,0,1.3592607189486174e-19,73,54,29,13,0.9995504021644592,3.1537019292291637e-34,424,375,308,268,0.9999997615814209
35,16.0,prbs31,Macallan_BP,0,0,3,128,137,125,126,140,142,127,129,86,4,15,7,0,6,-10,1,3,-2,0,-1,-1,-2,-1,-1,-1,-2,0,2.0520267230049673e-19,72,53,28,12,0.9999361634254456,5.353081377035627e-33,403,354,288,248,0.9999396800994873
36,16.0,prbs31,Macallan_BP,0,0,3,127,136,126,127,143,145,127,129,98,3,15,7,1,5,-10,-4,2,2,-1,0,-1,-1,-1,-1,-1,-1,0,4.914769974412567e-23,86,69,46,33,0.9998190999031067,1.4695110362292338e-38,447,402,340,302,0.9999459385871887
37,16.0,prbs31,Macallan_BP,0,0,4,127,136,126,127,142,144,127,129,94,3,15,7,1,5,-10,3,2,-5,0,0,-1,-1,-1,-1,-1,-1,0,1.9610524868615615e-22,81,65,42,29,0.9992518424987793,1.2558150470603577e-29,359,310,243,202,0.9999163150787354
38,16.0,prbs31,Macallan_BP,0,0,4,129,138,123,125,139,141,127,129,92,5,15,7,0,7,-6,3,4,-1,0,0,-1,-1,-1,-1,-1,-1,0,1.3939030468021573e-17,63,42,15,-1,0.9997782707214355,3.2258776738473975e-30,386,335,264,222,0.9983130693435669
39,16.0,prbs31,Macallan_BP,0,0,4,127,137,126,127,142,143,127,129,92,3,15,7,1,5,-10,0,2,-2,-1,-1,-1,-1,-1,0,-1,-1,0,3.2109864478845643e-22,82,65,42,28,0.9988024830818176,1.4278504261252409e-36,427,381,318,280,0.9981681704521179
40,16.0,prbs31,Macallan_BP,0,0,4,127,136,126,128,142,144,127,129,98,3,15,7,1,4,-10,-4,2,2,0,0,0,-1,-1,-1,-1,-1,0,9.747299780621551e-22,81,63,40,26,0.9999839663505554,2.230288757206826e-37,438,392,329,291,0.9999985694885254
41,16.0,prbs31,Macallan_BP,0,0,4,127,136,126,128,142,144,127,129,88,3,15,7,1,4,-10,-4,2,1,-1,0,-1,-1,-1,-1,-1,-1,0,8.485955984761255e-23,83,66,44,31,0.9997338652610779,2.6793568280245375e-38,444,398,336,299,0.9996747970581055
42,16.0,prbs31,Macallan_BP,0,0,4,128,136,125,127,141,142,127,129,88,4,15,7,0,5,-10,-3,3,2,-1,0,-1,-1,-2,-1,-1,-1,0,3.3666863024490953e-21,76,59,36,22,0.9999989867210388,2.370309387846107e-35,428,380,315,276,0.9999972581863403
43,16.0,prbs31,Macallan_BP,0,0,4,127,136,126,127,142,144,127,129,90,3,15,7,1,5,-10,0,2,-2,-1,-1,-1,-1,-1,-1,-1,-1,0,5.446359980247633e-24,86,70,49,36,0.9966109395027161,1.0370915916106344e-35,418,372,309,271,0.9996114373207092
44,16.0,prbs31,Macallan_BP,0,0,4,128,137,125,126,141,142,127,129,88,4,15,7,0,6,-10,-3,3,2,0,0,-1,-1,-2,-1,-1,-1,0,6.6947856410409e-20,72,54,30,15,0.999979555606842,7.94243391879782e-37,436,389,326,287,0.9999868273735046
45,16.0,prbs31,Macallan_BP,0,0,4,127,137,125,126,140,142,127,129,88,4,15,7,0,5,-10,-3,3,1,0,-1,0,-1,-1,-1,-1,-1,0,2.5818984022903356e-20,74,56,32,17,0.9985730648040771,1.2855302213116544e-34,423,375,309,269,0.9996291399002075
46,16.0,prbs31,Macallan_BP,0,0,5,129,138,123,125,138,140,127,129,84,5,15,7,0,7,-6,0,4,2,0,0,-1,-1,-1,-1,-1,-1,0,4.828460269975574e-19,66,48,24,9,0.9982768297195435,8.059900568784392e-31,405,352,280,237,0.9998835325241089
47,16.0,prbs31,Macallan_BP,0,0,5,129,138,123,125,138,140,127,129,86,5,15,7,0,7,-6,3,3,-1,0,0,-1,-1,-1,-1,-1,-1,0,5.634007917297114e-19,66,48,23,8,0.9951053261756897,2.0786239925945103e-26,364,306,227,179,0.9997819662094116
48,16.0,prbs31,Macallan_BP,0,0,5,129,138,123,125,138,140,127,129,84,5,15,7,0,7,-6,0,3,2,0,0,-1,-1,-2,-1,-1,-1,0,5.936625182167829e-19,66,48,23,8,0.9997791051864624,6.91023488457202e-30,398,344,270,226,0.9991925954818726
49,16.0,prbs31,Macallan_BP,0,0,5,130,138,124,125,139,140,127,129,89,5,15,7,0,7,-6,2,4,0,0,0,-1,-1,-1,-1,-1,-1,0,4.7672047619778083e-17,60,39,11,-5,0.9999306797981262,2.3921871545111265e-29,391,336,263,218,0.9999994039535522
50,16.0,prbs31,Macallan_BP,0,0,5,128,137,125,126,140,142,127,129,88,4,15,7,0,5,-10,-3,3,2,0,0,-1,-1,-1,-1,-1,-1,0,6.588281404623043e-21,74,57,34,20,0.9993464946746826,5.954835371328324e-34,421,372,305,264,0.9999901652336121
51,16.0,prbs31,Macallan_BP,0,0,5,127,136,126,128,142,143,127,129,86,3,15,7,1,4,-10,0,2,-2,-1,-1,-1,-1,-1,-1,-1,-1,0,1.2720770792578512e-23,82,67,46,33,0.9999517202377319,3.7236750115844395e-36,417,371,310,272,0.9937165379524231
52,16.0,prbs31,Macallan_BP,0,0,5,128,137,125,127,140,142,127,129,90,4,15,7,0,5,-9,1,3,-1,0,0,0,-1,-1,-1,-1,-1,0,1.1754418407322754e-21,77,60,38,24,0.9996019601821899,3.630410272683654e-32,407,356,287,246,0.9999672174453735
53,16.0,prbs31,Macallan_BP,0,0,5,129,138,123,125,139,140,127,129,84,5,15,7,0,7,-6,0,3,2,0,0,-1,-1,-1,-1,-1,-1,0,1.922882056434958e-17,60,40,13,-2,0.9999974966049194,9.77909468637711e-33,412,362,293,252,0.9978321194648743
54,16.0,prbs31,Macallan_BP,0,0,5,129,138,123,125,139,140,127,129,88,5,15,7,0,7,-6,-1,4,3,0,0,-1,-1,-1,-1,-1,-1,0,1.9305869161493224e-19,68,50,26,11,0.9999962449073792,3.4998963915447536e-31,406,354,283,240,0.9999861717224121
55,16.0,prbs31,Macallan_BP,1,0,0,128,136,125,127,144,146,127,129,104,3,15,7,2,5,-10,-4,2,1,0,0,-1,-1,-1,-1,-1,-1,0,8.682862681180077e-24,96,78,54,39,0.9993141889572144,2.5263997423569597e-38,448,402,340,302,0.9999799132347107
56,16.0,prbs31,Macallan_BP,1,0,0,128,138,125,126,143,145,127,129,108,4,15,7,0,6,-10,1,3,-1,0,0,-1,-1,-1,-1,-1,-1,0,7.606482797628684e-23,94,76,50,35,0.9995654821395874,1.5022076045233589e-34,425,376,310,270,0.9985725283622742
57,16.0,prbs31,Macallan_BP,1,0,0,128,138,124,126,143,145,127,129,106,4,15,7,0,6,-11,0,3,-1,0,0,-1,-1,-1,-1,-1,-1,0,1.8562907928858565e-22,93,74,48,33,0.9991317987442017,1.2806329053848146e-34,422,373,308,268,0.9999788999557495
58,16.0,prbs31,Macallan_BP,1,0,0,130,139,123,124,141,142,127,129,102,5,15,7,0,8,-6,2,4,0,0,0,-1,-1,-1,-1,-1,-1,0,1.2435457342174177e-19,80,60,32,15,0.996584415435791,1.532039378069452e-30,406,352,279,235,0.999753475189209
59,16.0,prbs31,Macallan_BP,1,0,0,127,136,125,127,144,146,127,129,104,3,15,7,1,5,-11,-4,2,2,0,0,-1,-1,-1,-1,-1,-1,0,1.2600570968702706e-24,99,81,58,43,0.9999264478683472,1.3906056900636934e-37,442,396,333,295,0.9997018575668335
60,16.0,prbs31,Macallan_BP,1,0,0,128,138,125,126,143,145,127,129,108,4,15,7,0,6,-10,1,3,-1,0,0,-1,0,-1,-1,-1,-1,0,5.914526004054926e-23,95,76,51,36,0.9988781809806824,2.071042440235779e-35,430,382,317,277,0.999857485294342
61,16.0,prbs31,Macallan_BP,1,0,0,129,139,123,124,141,142,127,129,100,5,15,7,0,7,-6,-1,5,3,0,0,-1,-1,-2,-2,-1,-1,0,8.042498921926351e-20,80,60,33,16,0.9999963641166687,5.69609004273363e-33,422,371,301,259,0.999442458152771
62,16.0,prbs31,Macallan_BP,1,0,0,128,137,124,126,143,144,127,129,104,4,15,7,0,6,-11,-4,3,3,0,0,-1,-1,-1,-1,-1,-1,0,1.5943395219818342e-21,88,69,43,27,0.9999357461929321,5.140437856611003e-36,434,386,322,283,0.9992783665657043
63,16.0,prbs31,Macallan_BP,1,0,0,130,139,122,124,141,142,127,129,108,5,15,7,0,8,-5,3,5,0,1,0,0,0,-1,0,-1,-1,0,2.92149316075768e-19,79,58,29,12,0.9984487891197205,9.412521971444655e-30,398,343,269,225,0.9998438954353333
64,16.0,prbs31,Macallan_BP,1,0,1,127,136,126,126,143,145,127,129,92,3,15,7,1,5,-11,0,2,-2,-1,-1,-1,-1,-1,-1,-1,-1,0,1.427687928888698e-23,93,76,52,38,0.999901533126831,2.489421647641431e-37,427,381,320,283,0.9971718192100525
65,16.0,prbs31,Macallan_BP,1,0,1,130,139,123,125,141,142,127,129,102,5,15,7,0,7,-6,2,4,0,0,0,0,-1,-1,-1,-1,-1,0,1.2131668816455565e-19,78,58,31,15,0.9999704360961914,2.4894083887519706e-31,408,356,285,242,0.999823808670044
66,16.0,prbs31,Macallan_BP,1,0,1,129,138,122,124,139,141,127,129,94,5,15,7,0,8,-6,7,4,-4,0,0,-1,-1,-1,-1,-1,-2,0,3.1224540025533785e-18,71,50,21,4,0.9999184608459473,2.0767779000454776e-27,346,293,222,179,0.9989356398582458
67,16.0,prbs31,Macallan_BP,1,0,1,129,139,122,124,140,141,127,129,94,5,15,7,0,8,-6,7,4,-4,0,0,-1,-1,-1,-1,-1,-1,0,1.444413735030358e-20,79,60,35,20,0.9978491067886353,2.5839450634339292e-27,350,297,224,180,0.9993368983268738
68,16.0,prbs31,Macallan_BP,1,0,1,127,136,126,127,144,146,127,129,106,3,15,7,1,5,-11,-1,2,-1,-1,0,-1,0,-1,0,-1,-1,0,3.922013385330806e-24,97,79,55,41,0.9979513883590698,2.9629822147332767e-36,437,390,325,286,0.9997439980506897
69,16.0,prbs31,Macallan_BP,1,0,1,129,138,123,124,141,142,127,129,102,5,15,7,0,7,-6,3,5,0,0,1,0,-1,-1,-1,-1,-1,0,9.355748101499062e-20,79,59,32,15,0.9975858330726624,1.1113396424616902e-30,405,352,280,236,0.9999902248382568
70,16.0,prbs31,Macallan_BP,1,0,1,129,138,123,124,140,142,127,129,98,5,15,7,0,8,-6,-1,4,4,0,0,0,-1,-1,-1,-1,-1,0,5.992045908139477e-19,75,55,27,10,0.9966346025466919,1.6881413403024264e-32,417,366,296,254,0.995948076248169
71,16.0,prbs31,Macallan_BP,1,0,1,129,138,123,124,139,140,127,129,94,5,15,7,0,7,-6,7,4,-4,0,0,0,-1,-1,-1,-1,-1,0,2.2099664644013453e-19,76,56,29,12,0.9992091059684753,7.455095452076664e-27,343,290,217,173,0.9952229261398315
72,16.0,prbs31,Macallan_BP,1,0,1,129,138,122,124,140,141,127,129,96,5,15,7,0,8,-6,-5,4,7,0,0,-1,-1,-1,-1,-1,-1,0,1.9558170765574883e-20,79,60,34,19,0.9999490976333618,7.620641708451874e-29,378,324,252,207,0.9989107847213745
73,16.0,prbs31,Macallan_BP,1,0,2,127,137,124,126,141,143,127,129,96,4,15,7,0,6,-10,-7,3,6,0,0,-1,-1,-1,-1,-1,-1,0,2.881427635582998e-23,86,69,47,33,0.9999593496322632,2.3965610958639588e-31,394,344,275,233,0.9978821277618408
74,16.0,prbs31,Macallan_BP,1,0,2,129,138,123,125,140,142,127,130,98,5,15,7,0,7,-6,-1,5,4,0,0,-1,0,-1,-1,-1,-1,0,6.202037232821781e-20,77,58,32,16,0.9978067874908447,2.709263475456611e-32,422,369,298,256,0.998751699924469
75,16.0,prbs31,Macallan_BP,1,0,2,127,137,126,127,143,145,127,129,92,3,15,7,1,5,-10,0,2,-2,-1,-1,-1,-1,-1,-1,-1,-1,0,4.9387492773621623e-23,91,73,49,34,0.9999865889549255,9.999936464761066e-41,452,408,349,314,0.9999620318412781
76,16.0,prbs31,Macallan_BP,1,0,2,127,137,124,126,142,143,127,129,96,4,15,7,0,6,-10,-7,3,6,0,0,-1,-1,-1,-1,-1,-1,0,4.622974833535454e-23,86,69,46,33,0.9989862442016602,4.739741659114625e-32,398,348,281,240,0.9999974370002747
77,16.0,prbs31,Macallan_BP,1,0,2,129,139,123,124,140,141,127,129,98,5,15,7,0,8,-6,-1,4,4,0,0,0,-1,-1,-1,-1,-1,0,1.2011011149598167e-20,79,60,35,20,0.9999557733535767,1.8716246848617782e-31,411,358,287,244,0.9999849200248718
78,16.0,prbs31,Macallan_BP,1,0,2,128,137,125,126,142,143,127,129,92,4,15,7,0,6,-10,1,3,-2,0,-1,-1,-1,-1,-1,-1,-1,0,2.124166014600181e-22,86,69,45,30,0.9999997019767761,5.121633607822384e-35,418,371,307,268,0.999076783657074
79,16.0,prbs31,Macallan_BP,1,0,2,128,137,124,126,142,143,127,129,90,4,15,7,0,6,-10,1,3,-2,0,-1,-1,-1,-2,-1,-1,-1,0,1.0620381904008174e-20,81,62,36,21,0.9998920559883118,3.586285457664737e-35,418,371,307,268,0.9998651146888733
80,16.0,prbs31,Macallan_BP,1,0,2,127,137,126,127,144,145,127,129,102,3,15,7,1,5,-10,0,2,-1,0,0,-1,-1,-1,-1,-1,-1,0,7.262874851363057e-25,96,79,57,43,0.9999971985816956,5.362382665045594e-37,433,387,324,287,0.9999706149101257
81,16.0,prbs31,Macallan_BP,1,0,2,127,137,125,127,144,145,127,129,98,3,15,7,1,5,-10,-4,2,2,-1,0,-1,-1,-1,-1,-1,-1,0,2.251292732188199e-25,96,79,57,44,0.9997460246086121,1.9596835165855053e-39,455,410,348,311,0.9999992847442627
82,16.0,prbs31,Macallan_BP,1,0,3,127,136,126,127,143,144,127,129,90,3,15,7,1,5,-10,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2.6550661427261666e-23,89,72,49,35,0.9979850649833679,9.999936464761066e-41,451,408,351,316,0.999981701374054
83,16.0,prbs31,Macallan_BP,1,0,3,129,138,123,124,139,141,127,129,94,5,15,7,0,7,-6,7,5,-4,0,0,-1,-1,-1,0,-1,-1,0,2.0068135874174e-18,68,48,21,5,0.9997516870498657,5.192868718958909e-27,349,295,222,177,0.9996562600135803
84,16.0,prbs31,Macallan_BP,1,0,3,129,138,124,125,139,141,127,129,88,5,15,7,0,7,-6,-1,4,3,0,0,-1,-1,-1,-1,-1,-2,0,4.153921298357954e-19,71,52,26,10,0.9999589323997498,4.0921527509703525e-34,422,373,306,266,0.9995604157447815
85,16.0,prbs31,Macallan_BP,1,0,3,127,136,126,127,143,144,127,129,94,3,15,7,1,5,-10,3,2,-5,0,0,-1,-1,-1,-1,-1,-1,0,1.6322572886079453e-24,90,74,52,39,0.9996355772018433,1.4966764339220384e-32,382,335,271,233,0.9989930391311646
86,16.0,prbs31,Macallan_BP,1,0,3,127,137,125,127,142,143,127,129,86,4,15,7,0,5,-10,1,2,-2,-1,0,-1,-1,-1,-1,-1,-1,0,4.965278928505629e-22,83,66,42,28,0.9984211325645447,1.7129601960659457e-35,423,376,312,273,0.9981249570846558
87,16.0,prbs31,Macallan_BP,1,0,3,129,138,123,125,139,140,127,129,84,5,15,7,0,7,-6,0,4,2,0,0,-1,-1,-1,-1,-1,-1,0,1.175799223785046e-19,73,54,29,14,0.9997366070747375,1.0155295810280733e-33,420,371,303,263,0.9982120990753174
88,16.0,prbs31,Macallan_BP,1,0,3,127,136,126,127,143,145,127,129,90,3,15,7,1,5,-10,0,2,-2,-1,-1,-1,-1,-1,-1,-1,-1,0,1.324795928768146e-22,86,69,45,31,0.9997205138206482,1.8863671529337314e-40,443,400,341,306,0.999492347240448
89,16.0,prbs31,Macallan_BP,1,0,3,127,136,125,127,142,144,127,129,88,3,15,7,1,5,-10,-3,2,1,-1,-1,-1,-1,-1,-1,-1,-1,0,3.7312485426068044e-24,89,73,51,38,0.9990847110748291,9.999936464761066e-41,467,426,369,335,0.9963904023170471
90,16.0,prbs31,Macallan_BP,1,0,3,128,137,124,127,142,143,127,129,94,4,15,7,0,6,-9,5,3,-5,0,0,-1,-1,-1,-1,-1,-1,0,5.2412021359224097e-23,85,69,46,32,0.998944878578186,4.713937520193471e-32,383,335,270,231,0.9982878565788269
91,16.0,prbs31,Macallan_BP,1,0,4,127,136,126,128,142,144,127,129,86,3,15,7,1,5,-10,0,1,-2,0,-1,-1,-1,-1,-1,-1,-1,0,1.256321016531982e-22,84,67,44,30,0.999999463558197,4.106904916696884e-33,410,361,294,253,0.9999651908874512
92,16.0,prbs31,Macallan_BP,1,0,4,128,138,124,125,139,141,127,129,88,5,15,7,0,7,-6,-1,4,2,0,0,0,-1,-1,-1,-1,-1,0,3.6788054161165616e-18,66,46,19,3,0.9986934661865234,1.1288877192726444e-34,432,383,315,275,0.9999973177909851
93,16.0,prbs31,Macallan_BP,1,0,4,129,138,123,125,139,140,127,129,86,5,15,7,0,7,-6,3,4,-1,0,0,-1,0,-2,-1,-1,-1,0,1.1953540980271796e-18,67,48,22,7,0.9997583627700806,2.0285361063210563e-31,393,343,274,233,0.9994765520095825
94,16.0,prbs31,Macallan_BP,1,0,4,129,138,124,125,139,140,127,129,84,5,15,7,0,7,-6,0,4,2,0,0,-1,-1,-1,-1,-1,-1,0,7.78140044812522e-21,74,57,34,20,0.9999457001686096,1.11520071702995e-31,411,359,288,245,0.9999837279319763
95,16.0,prbs31,Macallan_BP,1,0,4,130,139,123,124,137,138,127,129,86,6,15,7,0,8,-3,5,5,0,0,0,-1,-1,-1,-1,-1,-1,0,2.0547662569944137e-17,61,41,14,-2,0.9999414086341858,2.8043980745682367e-27,368,312,236,189,0.9999973177909851
